City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cervo,43.67,-7.41,57.96,85,71,9.15,ES,1649570129
Ushuaia,-54.8,-68.3,46.06,61,40,8.05,AR,1649589259
Tuatapere,-46.13,167.68,46.22,88,2,6.98,NZ,1649618372
Punta Arenas,-53.15,-70.92,50.11,53,0,11.5,CL,1649589738
Longyearbyen,78.22,15.64,12.04,52,57,27.63,SJ,1649555299
Novoorsk,51.38,58.98,47.05,92,100,12.91,RU,1649639864
Jamestown,42.1,-79.24,39.18,54,100,13.8,US,1649587454
Saldanha,-33.01,17.94,69.85,66,0,8.46,ZA,1649567164
Hermanus,-34.42,19.23,67.8,84,4,9.01,ZA,1649566918
Cayenne,4.93,-52.33,82.44,1,100,10.36,GF,1649582657
Barrow,71.29,-156.79,-3.98,77,100,12.66,US,1649601434
Gizo Government Station,-8.1,156.84,82.13,71,59,4.61,SB,1649619293
Carballo,43.21,-8.69,60.49,74,4,8.46,ES,1649570468
Saint Paul Harbor,57.79,-152.41,42.31,33,0,8.05,US,1649603522
Albany,42.6,-73.97,47.03,57,99,5.99,US,1649586157
Qaanaaq,77.48,-69.36,-1.95,82,24,4.97,GL,1649576437
Moranbah,-22.0,148.05,68.04,97,41,11.05,AU,1649621905
Arraial do Cabo,-22.97,-42.03,78.76,78,0,8.05,BR,1649581150
Saskylakh,71.92,114.08,-18.24,100,20,3.09,RU,1649622475
Busselton,-33.65,115.33,52.59,85,48,5.73,AU,1649630252
Rikitea,-23.12,-134.97,78.6,75,1,17.52,PF,1649603468
Bluff,-46.6,168.33,47.95,84,5,14.76,NZ,1649618247
Paraíso,9.84,-83.87,77.86,73,97,6.04,CR,1649590051
São Filipe,14.9,-24.5,74.68,69,4,14.79,CV,1649575626
Katsuura,35.13,140.3,61.74,90,100,12.5,JP,1649621549
Cape Town,-33.93,18.42,69.12,72,0,9.22,ZA,1649567091
Faanui,-16.48,-151.75,82.33,72,3,15.84,PF,1649607249
Esperance,-33.87,121.9,58.84,84,60,13.91,AU,1649628685
Kochkurovo,54.04,45.42,46.96,90,100,6.31,RU,1649556579
Praia da Vitória,38.73,-27.07,56.75,82,75,28.97,PT,1649575158
Kiunga,-6.12,141.29,72.48,99,91,0.67,PG,1649622957
Bluefields,12.01,-83.76,86.07,70,20,4.61,NI,1649589949
Bambous Virieux,-20.34,57.76,77.25,88,40,10.36,MU,1649643516
Abu Samrah,35.3,37.18,62.49,57,25,3.78,SY,1649559945
Saint-Pierre,-21.34,55.48,78.48,81,75,21.85,RE,1649644101
Châteauroux,46.82,1.7,46.4,66,0,10.36,FR,1649567714
Narsaq,60.92,-46.05,37.62,44,100,1.79,GL,1649577586
Lomovka,53.92,58.37,38.55,88,75,5.68,RU,1649639746
Vaini,-21.2,-175.2,79.32,82,62,14.85,TO,1649699471
Castro,-24.79,-50.01,74.79,64,34,2.75,BR,1649583137
Kapaa,22.08,-159.32,76.98,94,100,14.97,US,1649607686
East London,-33.02,27.91,66.0,90,100,17.58,ZA,1649564771
Husavik,66.04,-17.34,31.44,83,100,3.36,IS,1649569708
Khombole,14.77,-16.7,70.61,57,11,18.54,SN,1649573761
Shawville,45.6,-76.48,45.82,51,100,13.69,CA,1649586547
Naze,28.37,129.48,67.12,92,88,10.6,JP,1649624485
